severity,code,course,global_key,path,detail
warning,cross_course_repeated_id,,"demo_course:101,tda:101",exercises,"numeric/string ID '101' occurs as global keys demo_course:101,tda:101"
warning,cross_course_repeated_id,,"demo_course:102,tda:102",exercises,"numeric/string ID '102' occurs as global keys demo_course:102,tda:102"
warning,cross_course_repeated_id,,"demo_course:201,tda:201",exercises,"numeric/string ID '201' occurs as global keys demo_course:201,tda:201"
warning,cross_course_repeated_id,,"demo_course:202,tda:202",exercises,"numeric/string ID '202' occurs as global keys demo_course:202,tda:202"
warning,duplicate_content_hash,,"demo_course:101,tda:101",exercises,"SHA-256 122b2b7983c07c543049d9ed173f210b1f8b4fb9f49c5c90ce50899f51897439 is shared by demo_course:101,tda:101"
warning,duplicate_content_hash,,"demo_course:102,tda:102",exercises,"SHA-256 520c8c63ad3c237f86a45be1c7d4a1558aeb4e50cec6ec310ccc31f95d48b7dd is shared by demo_course:102,tda:102"
warning,duplicate_content_hash,,"demo_course:201,tda:201",exercises,"SHA-256 6218e200d9f0c02e878bcee25eff0630d823cf4be10afe7e42824a8966a0e3ab is shared by demo_course:201,tda:201"
warning,duplicate_content_hash,,"demo_course:202,tda:202",exercises,"SHA-256 dc4bcf86d9131eec20067aa235d7876ec856bacce30a2a9bf553be6796818b5b is shared by demo_course:202,tda:202"
warning,duplicate_content_hash,,"tda:502,tda:504",exercises,"SHA-256 df3edb9cad992f8393a0ca50af44870a3a799a75ad79764292ab730211911ee4 is shared by tda:502,tda:504"
warning,unsupported_html,demo_course,demo_course:102,exercises/demo_course/102.tex,"embedded HTML tags not supported by renderer: table,td,tr"
warning,unsupported_html,tda,tda:102,exercises/tda/102.tex,"embedded HTML tags not supported by renderer: table,td,tr"
warning,unsupported_html,tda,tda:408,exercises/tda/408.tex,"embedded HTML tags not supported by renderer: table,td,tr"
warning,unsupported_html,tda,tda:415,exercises/tda/415.tex,"embedded HTML tags not supported by renderer: table,td,tr"
