ID,Nombre,Descripción
101,SumaSubconjuntosBT,"Este ejercicio desafía a encontrar subconjuntos dentro de un multiconjunto de números naturales cuya sumatoria sea un valor específico, utilizando la técnica de *backtracking*. Se exploran las soluciones candidatas, válidas y parciales, junto con la implementación de una función recursiva para determinar la existencia de dichos subconjuntos, incluyendo optimizaciones mediante reglas de factibilidad y la modificación de la implementación para revelar el subconjunto solución."
102,MagiCuadrados,"El desafío consiste en calcular cuántos cuadrados mágicos de orden $n$ se pueden formar, utilizando métodos de fuerza bruta y optimización mediante backtracking y podas inteligentes, poniendo a prueba la habilidad para manejar permutaciones y optimizar la búsqueda de soluciones en un espacio combinatorio extenso."
103,MaxiSubconjunto,"El desafío consiste en encontrar un subconjunto de tamaño $k$ dentro de una matriz simétrica $n \times n$ que maximice la suma de sus elementos interconectados. Se aborda mediante un algoritmo de backtracking, evaluando su eficiencia y aplicando podas por optimalidad."
104,RutaMinima,"El objetivo es encontrar la permutación de índices que minimice la suma de distancias entre puntos consecutivos en una matriz, diseñando un algoritmo de backtracking con poda por optimalidad, y analizando su complejidad."
105,SumaDinámica,"Este ejercicio aborda el problema de la suma de subconjuntos, aplicando técnicas de programación dinámica tanto en enfoques top-down con memoización como bottom-up, para optimizar el cálculo y reducir la complejidad temporal y espacial del problema."
106,OptiPago,"En este desafío, el objetivo es determinar la forma óptima de pagar un costo fijo usando un subconjunto de billetes disponibles, minimizando tanto el exceso de pago como la cantidad de billetes utilizados. Se exploran estrategias de backtracking, programación dinámica y memoización para encontrar la solución más eficiente."
107,AstroTrade,"El desafío **AstroTrade** consiste en maximizar la ganancia neta de la compra-venta de asteroides a lo largo de una secuencia de $n$ días, con la restricción de realizar a lo sumo una operación (compra o venta) por día y empezando sin asteroides, empleando para ello formulación recursiva y programación dinámica."
108,CortesEconómicos,"El objetivo es determinar la estrategia de cortes mínimos en una vara de madera, dadas posiciones específicas, para minimizar el costo total de cortarla. Se explora la solución mediante programación dinámica, comparando enfoques top-down y bottom-up."
109,Travesía Vital,"En este desafío, el objetivo es calcular el mínimo nivel de vida necesario para atravesar una grilla llena de trampas y pociones, moviéndose solo hacia la derecha o abajo, de manera que siempre se mantenga vivo. Se exploran enfoques de backtracking, programación dinámica (PD) tanto top-down como bottom-up, y se busca una solución óptima en términos de complejidad temporal y espacial."
110,PilaCauta,"El ejercicio **PilaCauta** desafía a encontrar la máxima cantidad de cajas numeradas que se pueden apilar de manera creciente sin exceder el límite de soporte de cada caja. Se exploran soluciones mediante backtracking y programación dinámica, enfocándose en optimizar la selección basada en el peso y soporte de cada caja."
111,OperacionesSeq,"El objetivo es intercalar operaciones de suma, multiplicación y potenciación entre los elementos de un vector de números naturales para obtener un resultado específico, siguiendo una evaluación de izquierda a derecha. Se busca diseñar un algoritmo de Programación Dinámica (PD) que encuentre la secuencia de operaciones adecuada, si existe, optimizando tanto en enfoques top-down como bottom-up."
112,DadosSuma,"Este ejercicio desafía a calcular todas las combinaciones posibles para obtener una suma específica arrojando simultáneamente $n$ dados con $k$ caras, considerando escenarios donde los dados son distinguibles e indistinguibles. Se busca definir funciones recursivas y algoritmos eficientes con una complejidad objetivo, explorando la propiedad de superposición de subproblemas."
113,DadosDinámicos,"Este ejercicio desafía a calcular el número de formas de alcanzar una suma específica al lanzar $n$ dados, cada uno con $k$ caras, bajo dos escenarios: dados distinguibles e indistinguibles. Se requiere definir y demostrar funciones recursivas y algoritmos top-down, optimizando el cálculo para ejecutarse en tiempo $O(nk\min\{s, nk\})$."
